Date,Close,High,Low,Open,Volume
2025-03-21,322.6199951171875,324.3800048828125,311.0,317.6400146484375,1986100
2025-03-24,334.9599914550781,336.3599853515625,324.80999755859375,324.80999755859375,1703800
2025-03-25,337.3500061035156,346.7200012207031,334.739990234375,342.5,2040400
2025-03-26,337.7900085449219,340.7699890136719,332.4200134277344,336.760009765625,2300500
2025-03-27,341.5299987792969,348.5,334.07000732421875,334.25,4470400
2025-03-28,293.05999755859375,304.0,287.5,301.04998779296875,12915200
2025-03-31,283.05999755859375,291.760009765625,280.8299865722656,286.1400146484375,4414700
2025-04-01,279.6300048828125,283.6400146484375,277.45001220703125,282.2300109863281,3315100
2025-04-02,282.75,287.95001220703125,276.510009765625,277.75,2315200
2025-04-03,255.64999389648438,256.8800048828125,243.0500030517578,243.97999572753906,7596800
2025-04-04,263.70001220703125,271.75,234.83999633789062,242.0,8370800
2025-04-07,265.0,273.6499938964844,246.44000244140625,255.72000122070312,4203800
2025-04-08,247.61000061035156,270.4100036621094,243.74000549316406,269.4100036621094,3367900
2025-04-09,273.8399963378906,287.2099914550781,242.4499969482422,244.00999450683594,6278000
2025-04-10,256.6199951171875,262.8900146484375,247.9199981689453,262.8900146484375,3712500
2025-04-11,261.0299987792969,263.8500061035156,249.07000732421875,256.42999267578125,1961400
2025-04-14,259.760009765625,265.8800048828125,254.5800018310547,264.7799987792969,1796000
2025-04-15,255.63999938964844,263.6000061035156,252.97999572753906,260.0899963378906,1573700
2025-04-16,249.3699951171875,256.94000244140625,246.88999938964844,253.3800048828125,1772800
2025-04-17,251.0800018310547,252.22999572753906,248.0,249.35000610351562,1600600
2025-04-21,253.91000366210938,254.02999877929688,245.60000610351562,249.33999633789062,1559500
2025-04-22,261.7099914550781,267.1000061035156,257.1199951171875,257.1199951171875,2133700
2025-04-23,265.8500061035156,277.29998779296875,263.67999267578125,271.79998779296875,1808500
2025-04-24,270.6400146484375,272.0,261.260009765625,267.82000732421875,1283300
2025-04-25,267.8999938964844,269.6300048828125,265.4800109863281,267.95001220703125,1423000
